1	Gonzaga 1	WCC	32-1	+33.05	120.7	10	87.6	2	69.8	71	+.016	151	+0.61	128	104.9	138	104.2	129	+0.72	138
2	Villanova 1	BE	31-3	+30.78	122.7	2	92.0	12	63.8	323	+.026	114	+9.98	27	110.1	27	100.1	32	+4.24	52
3	North Carolina 1	ACC	27-7	+28.01	122.1	4	94.1	25	70.4	53	+.006	176	+12.14	10	111.6	5	99.5	17	+4.11	57
4	Kentucky 2	SEC	29-5	+27.27	119.2	14	91.9	9	72.5	16	+.008	171	+9.79	28	109.4	38	99.6	23	+3.93	58
5	West Virginia 4	B12	26-8	+26.80	116.5	28	89.7	5	69.6	79	-.043	290	+9.77	29	109.3	39	99.5	18	-7.91	342
6	Louisville 2	ACC	24-8	+26.72	117.1	23	90.4	6	67.7	180	-.011	216	+12.20	8	111.9	4	99.7	26	+4.62	49
7	Virginia 5	ACC	22-10	+26.67	113.7	38	87.0	1	58.6	351	-.051	298	+12.15	9	111.4	8	99.2	14	+2.75	77
8	Wichita St. 10	MVC	30-4	+26.41	119.6	12	93.2	19	68.4	133	-.014	227	+0.65	127	104.3	162	103.6	113	-0.03	162
9	Florida 4	SEC	24-8	+26.39	115.9	31	89.5	4	68.6	119	-.046	292	+11.61	13	110.1	28	98.5	5	+8.86	11
10	Kansas 1	B12	28-4	+25.98	120.8	9	94.9	30	70.0	67	+.074	25	+12.26	7	111.1	15	98.8	10	+2.75	76
11	SMU 6	Amer	30-4	+25.27	120.1	11	94.8	29	63.3	330	+.020	136	+3.15	87	104.9	134	101.8	71	-1.15	200
12	Duke 2	ACC	27-8	+25.09	121.0	6	95.9	39	67.7	183	+.027	109	+12.39	6	111.5	7	99.1	13	+0.06	159
13	Baylor 3	B12	25-7	+25.01	117.3	22	92.3	14	62.8	337	+.002	181	+12.77	5	111.3	10	98.5	6	+1.64	116
14	Saint Mary's 7	WCC	28-4	+24.64	119.0	15	94.3	26	59.1	350	+.034	87	-0.28	147	104.0	178	104.3	130	-4.27	287
15	Purdue 4	B10	25-7	+24.22	116.9	24	92.7	16	68.7	116	-.023	244	+8.06	50	108.8	50	100.7	46	-1.94	217
16	Oregon 3	P12	29-5	+23.83	117.7	19	93.9	22	66.5	238	+.036	84	+6.41	67	107.8	66	101.4	66	+0.69	140
17	Iowa St. 5	B12	23-10	+23.11	119.6	13	96.4	43	67.9	170	-.010	213	+13.66	4	112.1	3	98.4	4	-0.28	169
18	UCLA 3	P12	29-4	+22.95	122.7	3	99.8	78	72.9	13	+.024	121	+4.05	78	107.3	74	103.2	105	-4.40	290
19	Florida St. 3	ACC	25-8	+22.74	116.7	25	94.0	24	70.5	52	+.023	126	+9.69	31	110.9	18	101.2	56	-3.61	268
20	Arizona 2	P12	30-4	+22.74	117.6	20	94.8	28	65.5	277	+.064	37	+6.60	65	108.1	59	101.5	69	+1.53	119
21	Michigan 7	B10	24-11	+22.62	121.6	5	99.0	69	62.6	339	-.031	255	+9.68	32	109.2	41	99.5	19	-0.27	168
22	Cincinnati 6	Amer	29-5	+22.32	114.2	35	91.9	11	63.5	327	+.029	102	+3.56	84	106.5	80	103.0	99	-0.22	167
23	Wisconsin 8	B10	25-9	+22.29	113.6	40	91.3	8	63.1	333	-.000	185	+9.09	39	109.9	34	100.8	49	-0.96	187
24	Oklahoma St. 10	B12	20-12	+22.10	124.8	1	102.7	133	70.0	64	-.056	309	+13.97	1	111.6	6	97.6	1	+2.99	72
25	Notre Dame 5	ACC	25-9	+21.09	118.9	16	97.8	58	66.9	220	+.021	133	+10.64	24	110.2	23	99.6	21	-3.97	277
26	Butler 4	BE	23-8	+20.91	118.0	17	97.1	49	65.1	295	-.001	186	+10.72	22	110.6	22	99.8	28	+5.30	41
27	Creighton 6	BE	25-9	+19.59	115.6	32	96.0	40	70.6	49	+.009	170	+8.98	40	110.2	25	101.2	57	-1.30	205
28	Marquette 10	BE	19-12	+17.57	121.0	7	103.4	154	69.7	77	-.062	313	+8.94	42	109.1	45	100.1	33	-1.84	214
